Severity,Start_Time,Weather_Condition,Visibility(mi),Temperature(F),Humidity(%),Pressure(in),Wind_Speed(mph),State,End_Time
4,2022-10-23 21:10:00,Smoke,5.9,84.5,98.6,29.68,28.4,CA,2022-10-23 22:32:00
4,2022-02-22 22:40:00,Haze,8.8,74.9,44.9,28.29,2.5,NC,2022-02-23 00:08:00
2,2022-06-13 14:35:00,Fog,8.7,34.2,34.9,30.4,3.3,MI,2022-06-13 15:21:00
3,2022-12-29 23:50:00,Rain,4.6,36.7,52.3,30.92,25.3,PA,2022-12-30 00:54:00
4,2022-07-13 09:06:00,Haze,0.4,32.7,57.7,28.54,3.3,NC,2022-07-13 10:07:00
1,2022-01-05 20:08:00,Snow,4.4,62.0,91.6,30.69,1.2,OH,2022-01-05 21:09:00
1,2022-07-21 03:42:00,Smoke,6.1,87.8,64.8,29.67,10.4,MI,2022-07-21 05:13:00
1,2022-05-13 14:00:00,Thunderstorm,5.7,51.9,43.4,30.81,14.0,MI,2022-05-13 14:32:00
3,2022-07-03 05:24:00,Smoke,6.6,56.9,79.4,28.53,17.1,OH,2022-07-03 06:34:00
3,2022-06-11 03:56:00,Clear,1.7,93.7,60.5,30.38,15.2,IL,2022-06-11 05:01:00
1,2022-01-17 02:39:00,Clear,6.5,88.6,33.0,28.18,27.4,OH,2022-01-17 04:25:00
4,2022-11-01 00:45:00,Fog,2.0,76.6,66.1,30.65,23.1,MI,2022-11-01 02:45:00
3,2022-04-24 07:47:00,Haze,7.6,48.7,92.9,30.02,29.5,NY,2022-04-24 09:33:00
1,2022-11-13 01:50:00,Fog,3.5,38.2,87.4,29.11,14.3,PA,2022-11-13 03:29:00
1,2022-12-20 20:31:00,Cloudy,7.2,31.1,66.9,28.57,2.5,TX,2022-12-20 20:57:00
4,2022-12-23 21:42:00,Snow,0.7,37.5,50.2,30.45,28.7,MI,2022-12-23 23:11:00
2,2022-01-04 20:00:00,Thunderstorm,4.2,50.5,27.0,29.81,0.1,FL,2022-01-04 20:15:00
3,2022-04-27 08:07:00,Fog,7.1,68.6,57.6,29.08,23.3,TX,2022-04-27 08:48:00
4,2022-05-02 14:41:00,Cloudy,2.4,34.5,80.2,29.33,0.9,MI,2022-05-02 15:51:00
1,2022-11-24 15:17:00,Haze,8.0,39.5,48.8,30.48,22.8,TX,2022-11-24 16:46:00
1,2022-06-23 17:04:00,Snow,6.4,42.7,38.8,29.02,28.1,OH,2022-06-23 18:30:00
4,2022-02-15 02:05:00,Thunderstorm,6.0,74.2,94.5,28.27,11.7,IL,2022-02-15 03:29:00
3,2022-09-14 12:00:00,Clear,3.7,73.1,85.7,30.73,7.2,PA,2022-09-14 12:47:00
2,2022-07-30 20:02:00,Cloudy,4.9,68.6,71.1,29.16,6.8,FL,2022-07-30 20:18:00
2,2022-09-01 21:01:00,Haze,6.1,47.5,30.9,29.05,14.8,MI,2022-09-01 22:50:00
1,2022-03-11 10:17:00,Snow,4.8,56.0,31.6,28.61,5.1,IL,2022-03-11 11:58:00
3,2022-12-18 06:38:00,Cloudy,7.0,36.8,28.3,30.69,20.2,IL,2022-12-18 07:13:00
2,2022-12-27 12:43:00,Fog,4.5,45.9,69.3,28.65,11.1,NY,2022-12-27 14:14:00
3,2022-12-02 17:22:00,Rain,2.2,92.8,29.2,29.91,9.7,MI,2022-12-02 18:06:00
3,2022-01-21 09:05:00,Clear,2.3,98.6,87.4,30.64,13.8,NY,2022-01-21 09:38:00
1,2022-09-16 12:11:00,Fog,0.3,75.3,99.4,28.1,16.3,GA,2022-09-16 13:59:00
2,2022-12-09 22:14:00,Fog,3.1,94.2,49.3,30.49,4.3,PA,2022-12-09 22:44:00
4,2022-08-19 01:50:00,Haze,7.5,75.0,56.3,29.23,21.2,TX,2022-08-19 02:13:00
1,2022-03-09 15:26:00,Haze,8.0,32.3,76.9,29.97,26.5,TX,2022-03-09 15:34:00
2,2022-08-05 06:42:00,Snow,2.2,99.8,95.0,29.12,8.3,TX,2022-08-05 06:52:00
2,2022-08-02 06:06:00,Haze,9.6,36.9,91.5,30.09,5.4,PA,2022-08-02 06:42:00
2,2022-09-25 01:43:00,Cloudy,5.1,77.8,24.6,28.76,22.8,CA,2022-09-25 02:48:00
2,2022-01-11 18:54:00,Clear,9.2,47.7,33.5,28.07,5.5,FL,2022-01-11 20:17:00
2,2022-03-11 19:46:00,Fog,7.1,57.4,80.4,30.84,1.2,CA,2022-03-11 21:39:00
3,2022-07-08 01:04:00,Snow,7.3,75.2,75.1,28.05,18.6,NY,2022-07-08 02:47:00
1,2022-06-10 15:24:00,Smoke,1.0,60.6,30.7,30.47,7.2,CA,2022-06-10 15:38:00
3,2022-12-03 07:13:00,Smoke,2.4,47.5,60.2,28.51,5.2,NC,2022-12-03 08:16:00
4,2022-10-04 23:14:00,Clear,0.3,53.4,82.5,29.18,29.4,PA,2022-10-05 00:12:00
2,2022-06-12 05:32:00,Haze,7.2,53.9,37.5,30.47,8.8,GA,2022-06-12 07:30:00
1,2022-08-01 13:21:00,Haze,3.6,97.2,89.7,28.62,27.1,TX,2022-08-01 14:46:00
2,2022-04-10 11:59:00,Cloudy,7.9,85.9,24.2,30.6,5.3,PA,2022-04-10 13:17:00
1,2022-05-17 16:46:00,Haze,3.5,62.1,82.6,29.49,24.6,NY,2022-05-17 17:15:00
3,2022-10-08 13:35:00,Smoke,8.2,44.0,69.3,29.1,15.1,OH,2022-10-08 15:11:00
1,2022-10-21 03:32:00,Fog,1.5,86.8,45.2,29.99,2.4,GA,2022-10-21 05:06:00
4,2022-02-18 22:23:00,Smoke,1.9,41.0,77.7,29.02,22.0,PA,2022-02-18 23:17:00
4,2022-03-06 22:20:00,Thunderstorm,3.5,44.7,82.6,29.04,26.8,CA,2022-03-06 23:28:00
1,2022-05-25 06:52:00,Fog,4.2,55.6,94.7,30.2,4.9,GA,2022-05-25 07:48:00
1,2022-02-28 18:07:00,Fog,3.6,91.6,49.4,28.93,21.8,CA,2022-02-28 18:43:00
1,2022-08-20 20:00:00,Haze,7.7,39.2,74.9,28.6,13.4,NC,2022-08-20 20:23:00
1,2022-03-25 09:16:00,Clear,1.2,38.6,68.2,30.42,22.6,TX,2022-03-25 10:44:00
4,2022-02-10 18:12:00,Haze,3.6,64.6,62.0,30.42,21.4,MI,2022-02-10 19:45:00
2,2022-04-22 20:41:00,Clear,8.4,49.3,91.2,29.49,0.8,PA,2022-04-22 20:46:00
1,2022-03-19 13:58:00,Clear,0.9,69.8,20.3,29.58,5.4,GA,2022-03-19 15:57:00
1,2022-09-03 04:36:00,Smoke,9.4,61.6,42.6,30.09,14.1,IL,2022-09-03 06:17:00
4,2022-12-31 05:20:00,Clear,9.9,60.4,63.1,29.53,28.0,TX,2022-12-31 07:15:00
4,2022-06-21 21:36:00,Snow,1.1,37.8,34.3,29.25,10.3,IL,2022-06-21 23:19:00
3,2022-01-26 06:53:00,Rain,3.1,39.9,92.6,30.98,18.9,CA,2022-01-26 08:51:00
1,2022-04-10 22:08:00,Haze,3.8,87.5,71.8,28.44,0.4,GA,2022-04-10 22:26:00
3,2022-12-30 01:00:00,Snow,7.8,92.0,58.2,29.78,21.3,GA,2022-12-30 02:44:00
4,2022-01-26 07:48:00,Fog,6.0,46.4,85.2,30.66,18.1,TX,2022-01-26 08:47:00
4,2022-05-05 06:49:00,Snow,6.5,37.9,56.1,30.06,21.5,PA,2022-05-05 07:22:00
2,2022-10-21 22:51:00,Cloudy,7.6,33.7,64.7,30.64,27.1,GA,2022-10-21 23:18:00
1,2022-12-11 00:53:00,Thunderstorm,1.4,72.6,20.2,29.01,4.4,MI,2022-12-11 02:40:00
3,2022-06-14 00:27:00,Clear,8.4,80.1,49.3,28.82,7.8,GA,2022-06-14 02:01:00
4,2022-01-30 04:56:00,Haze,7.1,56.1,31.1,30.55,29.9,OH,2022-01-30 06:07:00
4,2022-02-05 23:51:00,Cloudy,5.9,77.6,75.2,29.18,4.7,FL,2022-02-06 00:55:00
3,2022-10-24 04:08:00,Haze,8.9,79.9,58.3,30.13,21.6,NY,2022-10-24 04:19:00
2,2022-07-12 05:35:00,Smoke,7.1,95.5,44.1,28.44,21.8,CA,2022-07-12 06:51:00
4,2022-07-20 19:52:00,Thunderstorm,2.2,34.5,57.4,30.27,20.5,NC,2022-07-20 20:28:00
1,2022-11-20 06:45:00,Cloudy,4.4,43.5,36.8,29.65,6.8,MI,2022-11-20 08:38:00
4,2022-06-11 22:32:00,Haze,5.0,34.8,94.0,28.81,6.5,MI,2022-06-11 22:52:00
1,2022-09-06 07:34:00,Fog,0.7,90.8,24.3,29.48,20.0,TX,2022-09-06 08:37:00
3,2022-12-31 14:05:00,Clear,9.6,85.5,89.2,30.09,5.6,MI,2022-12-31 14:27:00
1,2022-07-10 03:40:00,Cloudy,1.5,70.2,60.9,28.04,19.8,OH,2022-07-10 05:27:00
3,2022-10-04 03:30:00,Fog,7.0,35.9,69.5,29.91,14.8,GA,2022-10-04 04:34:00
1,2022-05-06 14:42:00,Clear,5.2,49.1,44.2,29.62,11.6,NY,2022-05-06 16:12:00
3,2022-03-24 10:16:00,Rain,0.5,50.8,97.3,28.66,9.0,MI,2022-03-24 11:28:00
1,2022-01-04 11:14:00,Fog,9.3,69.3,42.5,30.26,28.4,CA,2022-01-04 12:30:00
2,2022-02-18 03:00:00,Snow,8.5,48.1,67.1,28.91,15.2,IL,2022-02-18 04:21:00
1,2022-08-01 13:33:00,Haze,5.3,35.1,99.5,28.83,16.8,MI,2022-08-01 14:18:00
1,2022-07-26 06:16:00,Smoke,2.4,81.2,90.5,29.41,28.5,MI,2022-07-26 07:57:00
2,2022-07-31 08:39:00,Clear,1.4,50.9,62.9,30.03,19.6,PA,2022-07-31 10:38:00
4,2022-12-25 15:59:00,Cloudy,3.8,61.7,99.2,30.79,28.7,OH,2022-12-25 17:00:00
4,2022-11-06 00:15:00,Thunderstorm,2.7,38.9,76.1,28.42,3.2,CA,2022-11-06 01:38:00
1,2022-08-24 21:19:00,Cloudy,5.2,86.2,36.7,29.19,25.4,NY,2022-08-24 23:08:00
2,2022-02-05 21:57:00,Snow,9.7,69.6,52.4,28.2,10.1,IL,2022-02-05 23:34:00
1,2022-01-02 22:03:00,Haze,5.8,93.1,46.8,30.28,24.3,IL,2022-01-03 00:02:00
3,2022-09-04 13:34:00,Snow,8.9,64.7,47.5,29.34,25.7,OH,2022-09-04 14:43:00
3,2022-02-08 12:40:00,Cloudy,6.6,95.9,80.8,30.12,8.1,NY,2022-02-08 13:39:00
1,2022-05-24 20:19:00,Smoke,4.9,92.4,66.7,28.97,12.3,MI,2022-05-24 22:10:00
4,2022-03-24 00:14:00,Haze,8.6,70.4,23.0,30.53,21.8,OH,2022-03-24 01:29:00
4,2022-02-23 08:48:00,Thunderstorm,4.8,95.4,90.2,29.6,3.0,GA,2022-02-23 09:50:00
1,2022-04-27 16:17:00,Clear,8.7,52.6,43.7,30.83,22.7,TX,2022-04-27 18:16:00
1,2022-11-06 00:12:00,Haze,3.1,55.6,99.8,28.24,3.3,CA,2022-11-06 00:37:00
3,2022-11-04 13:39:00,Fog,1.5,33.2,96.3,29.54,27.4,MI,2022-11-04 15:19:00
4,2022-12-01 04:15:00,Haze,8.6,71.2,95.2,30.3,8.3,MI,2022-12-01 06:10:00
1,2022-12-03 20:57:00,Snow,6.0,80.5,84.9,29.8,17.3,CA,2022-12-03 22:02:00
3,2022-12-16 15:56:00,Snow,8.9,84.1,37.6,28.07,3.5,CA,2022-12-16 16:58:00
4,2022-10-19 18:42:00,Snow,9.4,40.5,62.6,30.92,8.1,NC,2022-10-19 19:20:00
2,2022-02-01 07:35:00,Thunderstorm,0.7,61.1,37.9,28.89,12.1,NY,2022-02-01 09:16:00
3,2022-11-25 13:46:00,Haze,5.1,42.4,40.8,28.75,14.6,NC,2022-11-25 14:22:00
4,2022-09-30 07:18:00,Smoke,3.9,76.3,68.9,29.46,0.0,OH,2022-09-30 09:10:00
4,2022-10-17 19:39:00,Smoke,6.3,41.1,23.3,29.63,26.7,OH,2022-10-17 21:05:00
3,2022-09-01 02:27:00,Haze,8.0,93.3,97.6,30.3,0.2,TX,2022-09-01 03:07:00
2,2022-09-30 16:30:00,Smoke,2.9,46.1,93.5,29.18,23.2,TX,2022-09-30 18:13:00
3,2022-03-17 19:22:00,Rain,5.7,50.4,50.5,29.32,14.1,IL,2022-03-17 21:06:00
4,2022-09-24 00:31:00,Thunderstorm,7.1,89.6,61.2,29.6,15.7,MI,2022-09-24 01:42:00
1,2022-07-07 14:50:00,Clear,1.5,62.1,57.3,29.18,6.2,CA,2022-07-07 15:57:00
1,2022-08-16 03:09:00,Clear,8.2,31.7,90.6,30.74,18.2,OH,2022-08-16 04:34:00
3,2022-07-25 10:09:00,Clear,6.1,64.6,75.1,30.55,16.1,OH,2022-07-25 10:44:00
4,2022-07-08 11:41:00,Clear,9.5,35.9,42.2,29.36,4.9,GA,2022-07-08 12:21:00
1,2022-05-01 08:31:00,Clear,3.5,99.0,55.7,28.0,7.1,OH,2022-05-01 09:32:00
4,2022-11-03 04:00:00,Smoke,1.3,71.2,54.3,30.7,2.0,GA,2022-11-03 04:14:00
3,2022-06-02 23:23:00,Cloudy,5.2,48.0,96.7,28.37,2.0,FL,2022-06-03 00:59:00
1,2022-11-08 16:28:00,Snow,1.0,69.5,34.0,28.73,0.4,FL,2022-11-08 17:09:00
4,2022-08-25 14:06:00,Thunderstorm,9.7,35.4,27.2,28.46,6.6,GA,2022-08-25 14:41:00
1,2022-08-08 18:23:00,Cloudy,0.6,86.0,90.4,28.54,20.4,NC,2022-08-08 19:02:00
3,2022-06-20 05:44:00,Thunderstorm,7.6,94.8,91.7,30.41,9.5,MI,2022-06-20 06:31:00
4,2022-05-16 23:04:00,Rain,5.3,91.2,89.7,29.74,10.3,NY,2022-05-16 23:49:00
1,2022-08-18 22:39:00,Haze,3.8,53.9,60.9,30.87,4.0,GA,2022-08-19 00:38:00
3,2022-04-24 08:44:00,Fog,0.8,52.8,72.8,28.69,17.3,CA,2022-04-24 09:58:00
1,2022-11-11 04:13:00,Snow,6.3,32.5,65.1,29.46,10.3,TX,2022-11-11 04:28:00
1,2022-03-12 05:58:00,Rain,5.9,75.6,25.6,30.93,20.3,MI,2022-03-12 06:20:00
2,2022-02-14 10:12:00,Cloudy,3.0,67.4,67.7,30.48,22.2,MI,2022-02-14 10:36:00
2,2022-12-02 10:07:00,Fog,9.1,62.2,21.1,30.19,17.5,MI,2022-12-02 10:41:00
3,2022-10-29 12:59:00,Haze,3.2,93.5,46.0,28.57,8.3,NC,2022-10-29 13:53:00
2,2022-07-15 22:20:00,Rain,4.6,41.8,94.6,30.31,15.3,TX,2022-07-15 23:53:00
3,2022-04-26 19:42:00,Haze,5.5,30.7,44.3,29.04,7.6,TX,2022-04-26 20:06:00
2,2022-03-27 11:39:00,Haze,1.2,35.1,95.2,29.59,27.1,GA,2022-03-27 13:14:00
1,2022-03-17 15:44:00,Smoke,9.3,45.6,40.0,29.83,23.0,IL,2022-03-17 16:16:00
3,2022-06-21 22:12:00,Thunderstorm,3.9,32.3,45.2,29.83,14.8,IL,2022-06-21 22:25:00
3,2022-08-27 14:55:00,Fog,1.0,65.2,70.3,30.18,29.0,PA,2022-08-27 15:53:00
1,2022-05-17 20:57:00,Thunderstorm,4.0,52.0,80.9,29.99,16.4,GA,2022-05-17 21:54:00
3,2022-07-20 03:33:00,Haze,6.1,42.6,60.1,28.21,9.9,GA,2022-07-20 04:20:00
3,2022-02-28 21:31:00,Smoke,5.2,82.5,90.6,29.37,2.9,NC,2022-02-28 22:45:00
2,2022-05-13 00:41:00,Rain,7.0,44.3,23.2,29.99,16.3,MI,2022-05-13 01:45:00
3,2022-09-22 00:12:00,Haze,0.7,78.1,93.8,28.89,25.8,FL,2022-09-22 01:10:00
4,2022-11-12 09:11:00,Cloudy,3.0,54.4,35.7,28.94,26.0,NC,2022-11-12 09:23:00
1,2022-11-13 11:38:00,Haze,8.2,65.8,90.7,28.37,18.1,FL,2022-11-13 12:09:00
2,2022-07-28 22:16:00,Thunderstorm,1.0,95.4,52.1,29.26,11.8,CA,2022-07-29 00:07:00
2,2022-05-16 20:23:00,Fog,8.6,32.6,86.6,30.96,19.5,IL,2022-05-16 21:21:00
4,2022-07-25 11:06:00,Rain,1.1,65.0,73.7,28.86,22.9,OH,2022-07-25 12:00:00
1,2022-05-18 15:57:00,Thunderstorm,8.4,89.8,34.1,29.59,12.3,FL,2022-05-18 17:57:00
1,2022-07-17 05:03:00,Haze,3.7,71.2,93.4,30.23,14.3,NC,2022-07-17 06:46:00
2,2022-07-20 22:40:00,Cloudy,6.2,49.4,39.6,28.04,20.4,CA,2022-07-20 23:59:00
3,2022-11-28 17:37:00,Snow,1.7,57.8,39.5,30.7,26.3,PA,2022-11-28 19:11:00
2,2022-11-12 03:29:00,Smoke,0.8,77.6,85.1,29.16,23.7,PA,2022-11-12 03:36:00
1,2022-02-04 09:22:00,Cloudy,2.3,92.4,28.5,30.61,0.7,GA,2022-02-04 11:16:00
4,2022-06-09 21:13:00,Haze,1.5,32.9,37.8,28.12,3.7,FL,2022-06-09 23:10:00
2,2022-10-04 11:02:00,Cloudy,3.3,35.0,60.3,28.44,25.6,IL,2022-10-04 12:44:00
1,2022-09-17 07:13:00,Smoke,5.2,52.8,86.4,28.97,25.0,MI,2022-09-17 08:31:00
2,2022-01-06 04:45:00,Snow,6.0,46.3,31.8,29.04,11.7,IL,2022-01-06 05:38:00
3,2022-10-22 21:51:00,Cloudy,7.9,48.5,63.8,30.54,17.5,GA,2022-10-22 22:57:00
2,2022-03-20 06:21:00,Snow,6.6,45.5,76.9,28.03,27.2,OH,2022-03-20 06:26:00
2,2022-05-24 23:52:00,Haze,6.2,43.7,88.8,29.92,27.3,FL,2022-05-25 00:42:00
1,2022-05-09 03:14:00,Snow,4.2,39.1,94.8,28.39,23.5,OH,2022-05-09 03:57:00
1,2022-11-06 02:13:00,Thunderstorm,4.8,95.4,82.8,30.47,6.3,MI,2022-11-06 03:54:00
1,2022-05-26 20:48:00,Thunderstorm,4.3,40.1,72.2,30.34,21.9,GA,2022-05-26 21:42:00
2,2022-01-26 16:59:00,Snow,8.5,44.3,54.7,29.5,3.0,IL,2022-01-26 18:53:00
3,2022-07-01 14:17:00,Rain,2.5,47.2,29.0,28.64,26.8,IL,2022-07-01 16:16:00
4,2022-09-21 17:07:00,Fog,0.3,95.3,76.8,29.9,4.5,CA,2022-09-21 18:58:00
4,2022-04-21 03:18:00,Rain,6.6,82.9,99.4,28.47,19.9,GA,2022-04-21 04:16:00
1,2022-11-06 07:34:00,Snow,2.2,85.3,78.9,28.57,18.3,PA,2022-11-06 08:47:00
1,2022-12-09 04:30:00,Fog,8.9,37.3,21.3,29.88,23.3,PA,2022-12-09 06:10:00
2,2022-10-17 18:07:00,Thunderstorm,8.6,88.5,59.7,30.97,16.5,IL,2022-10-17 19:46:00
4,2022-11-22 12:38:00,Fog,1.0,58.6,69.2,30.67,1.8,IL,2022-11-22 13:52:00
1,2022-09-18 05:43:00,Snow,1.2,48.4,75.2,29.78,21.2,FL,2022-09-18 07:30:00
3,2022-01-19 00:19:00,Thunderstorm,5.1,70.3,77.6,29.62,11.5,FL,2022-01-19 01:41:00
3,2022-04-17 21:39:00,Fog,6.2,87.6,64.6,31.0,9.6,TX,2022-04-17 23:38:00
1,2022-06-13 22:54:00,Fog,2.9,84.5,37.9,29.64,29.8,NC,2022-06-13 23:27:00
1,2022-09-21 11:33:00,Rain,7.2,92.3,95.4,29.26,17.7,GA,2022-09-21 12:40:00
4,2022-04-16 12:36:00,Fog,6.0,95.0,75.7,30.73,21.3,FL,2022-04-16 13:09:00
4,2022-04-19 12:15:00,Haze,3.4,46.7,38.9,28.7,15.8,IL,2022-04-19 12:54:00
2,2022-11-19 13:02:00,Snow,0.4,59.7,45.8,28.29,23.1,MI,2022-11-19 14:02:00
4,2022-10-24 07:13:00,Clear,7.6,31.0,93.8,29.9,22.6,IL,2022-10-24 08:20:00
3,2022-08-30 13:03:00,Clear,2.3,91.6,91.0,28.29,19.7,GA,2022-08-30 13:11:00
3,2022-03-29 09:09:00,Clear,8.4,40.8,52.4,29.12,29.9,PA,2022-03-29 10:03:00
1,2022-03-31 00:56:00,Snow,4.3,90.3,23.1,29.27,13.8,OH,2022-03-31 01:44:00
4,2022-05-02 22:47:00,Clear,5.9,53.1,23.9,29.64,21.2,IL,2022-05-03 00:17:00
2,2022-10-12 05:59:00,Rain,8.8,55.8,42.7,30.97,23.9,CA,2022-10-12 07:30:00
3,2022-09-02 13:16:00,Snow,8.7,32.7,70.3,28.66,11.3,GA,2022-09-02 15:03:00
3,2022-07-10 15:35:00,Haze,3.8,52.9,66.7,29.13,13.7,NY,2022-07-10 16:31:00
2,2022-03-13 03:56:00,Thunderstorm,2.2,92.2,70.7,28.4,29.1,IL,2022-03-13 05:33:00
2,2022-09-23 21:05:00,Haze,7.8,31.8,77.4,29.82,1.0,CA,2022-09-23 21:31:00
3,2022-05-06 23:49:00,Snow,4.4,58.4,21.5,30.18,10.1,FL,2022-05-07 01:41:00
3,2022-06-01 09:00:00,Snow,2.1,32.2,28.4,29.45,14.6,TX,2022-06-01 10:04:00
2,2022-12-16 16:31:00,Fog,9.1,56.0,48.8,28.74,0.0,TX,2022-12-16 16:52:00
3,2022-12-04 23:15:00,Fog,2.1,42.1,32.4,29.86,27.0,CA,2022-12-05 00:39:00
1,2022-02-22 08:43:00,Fog,0.5,47.7,26.0,29.62,8.6,PA,2022-02-22 09:56:00
1,2022-08-23 00:26:00,Smoke,0.4,91.4,71.3,28.51,7.7,GA,2022-08-23 00:34:00
2,2022-03-14 20:47:00,Smoke,6.3,60.5,85.2,29.22,24.6,FL,2022-03-14 21:42:00
4,2022-12-04 09:13:00,Cloudy,6.7,49.2,80.2,29.31,8.3,CA,2022-12-04 10:33:00
2,2022-11-05 05:22:00,Smoke,3.2,71.3,85.4,30.95,19.7,MI,2022-11-05 06:39:00
2,2022-07-27 21:32:00,Rain,3.3,39.9,73.3,30.55,24.6,TX,2022-07-27 23:01:00
4,2022-01-17 05:46:00,Snow,3.5,48.2,78.8,30.2,23.8,FL,2022-01-17 05:54:00
4,2022-05-04 11:46:00,Haze,6.9,68.2,41.7,30.67,23.5,PA,2022-05-04 12:01:00
4,2022-12-17 02:38:00,Snow,0.8,46.6,99.4,30.21,2.7,FL,2022-12-17 04:05:00
1,2022-07-21 16:46:00,Fog,9.3,77.5,34.7,30.71,2.4,NC,2022-07-21 17:45:00
3,2022-08-13 06:39:00,Snow,2.4,64.4,37.2,28.16,9.2,CA,2022-08-13 07:01:00
1,2022-06-25 02:36:00,Thunderstorm,10.0,84.0,43.1,29.37,1.1,OH,2022-06-25 04:31:00
3,2022-11-23 00:10:00,Smoke,1.9,96.4,98.0,30.24,15.0,MI,2022-11-23 01:14:00
1,2022-08-13 11:38:00,Snow,7.8,38.1,99.1,29.75,11.8,GA,2022-08-13 12:06:00
3,2022-06-22 17:24:00,Haze,2.4,53.4,83.6,28.53,16.7,NC,2022-06-22 17:35:00
1,2022-05-20 17:22:00,Clear,1.0,52.4,70.3,29.02,9.0,GA,2022-05-20 18:00:00
4,2022-01-18 17:25:00,Thunderstorm,8.8,40.6,61.6,28.95,14.6,IL,2022-01-18 18:18:00
2,2022-02-25 10:18:00,Thunderstorm,8.6,86.7,97.6,28.78,10.0,CA,2022-02-25 11:04:00
1,2022-03-21 13:49:00,Snow,4.2,83.2,75.6,29.03,5.9,CA,2022-03-21 14:21:00
3,2022-04-11 23:26:00,Cloudy,7.1,63.9,95.6,29.54,19.5,GA,2022-04-12 00:29:00
4,2022-05-15 14:39:00,Fog,5.7,67.6,45.3,30.56,20.2,OH,2022-05-15 15:25:00
1,2022-09-10 06:58:00,Rain,8.6,34.2,46.7,30.23,24.9,IL,2022-09-10 07:46:00
1,2022-12-18 16:53:00,Rain,3.3,68.9,88.4,30.51,26.2,MI,2022-12-18 18:35:00
4,2022-06-28 18:38:00,Clear,5.3,85.4,32.0,30.65,21.1,FL,2022-06-28 20:35:00
1,2022-10-24 11:03:00,Rain,5.0,70.2,95.7,29.25,20.6,NC,2022-10-24 11:56:00
2,2022-11-06 15:12:00,Rain,3.7,48.6,60.6,29.04,1.7,NY,2022-11-06 15:52:00
1,2022-10-13 03:11:00,Fog,8.9,76.7,94.1,28.17,3.3,PA,2022-10-13 04:52:00
2,2022-12-19 05:55:00,Smoke,1.8,55.3,46.9,30.79,24.4,NY,2022-12-19 07:46:00
2,2022-12-23 21:51:00,Fog,1.7,68.1,77.3,28.2,7.0,NC,2022-12-23 22:49:00
4,2022-08-16 07:50:00,Cloudy,5.9,64.1,58.6,30.22,10.7,NY,2022-08-16 08:27:00
1,2022-11-02 05:03:00,Haze,6.6,56.7,70.1,29.13,4.4,GA,2022-11-02 06:54:00
4,2022-03-02 05:24:00,Clear,2.1,80.3,60.3,30.85,5.9,FL,2022-03-02 05:39:00
1,2022-03-08 22:33:00,Rain,4.0,91.9,97.4,29.26,23.3,GA,2022-03-08 23:38:00
1,2022-10-06 18:26:00,Cloudy,9.5,30.4,75.4,30.45,7.9,FL,2022-10-06 18:33:00
3,2022-10-26 06:25:00,Clear,2.6,95.4,40.1,28.85,13.5,IL,2022-10-26 08:05:00
1,2022-12-29 17:13:00,Thunderstorm,6.7,65.8,92.8,28.9,4.6,CA,2022-12-29 18:27:00
4,2022-01-24 03:40:00,Rain,7.5,79.1,43.5,29.79,20.3,PA,2022-01-24 03:51:00
2,2022-07-29 17:14:00,Rain,4.6,89.9,49.7,30.99,21.8,TX,2022-07-29 18:03:00
1,2022-12-12 01:55:00,Fog,9.4,62.7,28.2,29.55,10.9,FL,2022-12-12 02:28:00
3,2022-01-08 16:54:00,Snow,7.4,88.4,92.0,30.81,23.5,CA,2022-01-08 18:22:00
4,2022-11-20 07:50:00,Clear,4.7,42.4,42.9,30.36,7.2,PA,2022-11-20 08:03:00
1,2022-12-21 12:11:00,Rain,5.8,41.1,40.7,30.39,20.8,IL,2022-12-21 13:55:00
4,2022-09-25 03:48:00,Smoke,7.0,76.0,93.6,29.31,21.9,MI,2022-09-25 05:16:00
3,2022-02-17 18:38:00,Clear,6.0,90.9,84.4,29.16,29.1,TX,2022-02-17 18:48:00
3,2022-05-21 00:04:00,Haze,8.8,92.5,31.3,28.58,7.0,GA,2022-05-21 01:45:00
4,2022-03-18 11:30:00,Smoke,3.7,75.1,81.5,30.89,2.8,NC,2022-03-18 11:38:00
1,2022-01-22 00:17:00,Cloudy,3.1,66.8,93.0,30.88,7.9,FL,2022-01-22 00:53:00
2,2022-10-10 22:27:00,Smoke,2.3,53.2,26.3,30.24,3.7,PA,2022-10-10 22:57:00
3,2022-02-06 14:11:00,Cloudy,0.6,98.6,86.0,28.89,5.1,PA,2022-02-06 16:03:00
1,2022-10-18 20:29:00,Snow,0.6,52.4,63.8,28.74,10.0,MI,2022-10-18 20:36:00
1,2022-07-23 12:12:00,Rain,8.7,82.1,73.5,30.97,12.4,PA,2022-07-23 13:36:00
2,2022-05-04 09:58:00,Smoke,6.8,67.2,59.4,28.2,27.1,GA,2022-05-04 10:22:00
3,2022-12-13 01:57:00,Haze,6.7,72.6,75.8,30.53,5.9,IL,2022-12-13 02:32:00
3,2022-08-14 22:09:00,Fog,6.2,57.5,22.7,29.07,29.2,MI,2022-08-14 22:30:00
1,2022-05-05 01:26:00,Rain,8.5,97.5,81.0,29.26,24.3,MI,2022-05-05 02:31:00
1,2022-12-27 00:20:00,Clear,4.9,70.0,22.7,30.5,26.4,GA,2022-12-27 01:50:00
